State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AL,2007,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12170647445499999,-3.52848850405e-07,-0.913677330757,-4.85500107662e-07
AL,2007,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00152572566387,-4.5978041447200003e-07,0.7947239600920001,-4.86196915638e-07
AL,2007,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08927694810789999,-3.7677890967600003e-07,0.6971010291859999,1.13557467582e-06
AL,2007,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0600903743956,-1.72713916047e-07,2.30787938913,1.10061254551e-06
AL,2007,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0017172269708399998,-4.20211025125e-07,-0.913677330757,9.35730708014e-07
AL,2007,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0406326585873,5.2831603227999996e-08,3.08886283638,9.55197955742e-07
AL,2007,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0696277309927,-5.053794250520001e-07,-3.6959308615699995,-1.2562914605200002e-06
AL,2007,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0785458507382,-5.0368359408e-07,-0.7184314689460001,-1.67090479909e-06
AL,2007,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.10611094813300001,-3.62175920751e-07,-1.2065461234700001,-1.11537114228e-06
AL,2007,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.017740488837400002,-4.4932279014399995e-07,-0.27912827987,7.61892509368e-07
AL,2008,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0712492073101,7.27466988999e-05,1.7221418037,1.13743143121e-06
AL,2008,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487400401741,-2.3574230050599998e-07,-1.01130026166,-9.14882137372e-07
